Why do Varroa mites prefer nurse bees?	The Varroa mite, Varroa destructor, is an acarine ecto-parasite on Apis mellifera. It is the worst pest of Apis mellifera, yet its reproductive biology on the host is not well understood. In particular, the significance of the phoretic stage, when mites feed on adult bees for a few days, is not clear. In addition, it is not clear whether the preference of mites for nurses observed in the laboratory also happens inside real colonies. We show that Varroa mites prefer nurses over both newly emerged bees and forgers in a colony setting. We then determined the mechanism behind this preference. We show that this preference maximizes Varroa fitness, although due to the fact that each mite must find a second host (a pupa) to reproduce, the fitness benefit to the mites is not immediate but delayed. Our results suggest that the Varroa mite is a highly adapted parasite for honey bees.		human, human experiment, nurse, parasite, Varroa	2016-06-15
The influence of pulverised sugar dusting on the degree of infestation of honey bee colonies with Varroa destructor	The aim of this work was the investigation on the efficacy of pulverised sugar dusting on knocking-down Varroa destructor mites and the influence of the dynamics of the treatment on the degree of infestation in honey bee colonies. Two methods were deployed to measure the degree of infestation of bee colonies with V. destructor mites: the sugar shake method and the technique which involves mesh bottom boards equipped with sticky inserts. The research was carried out on 30 strong honey bee colonies in three successive years. The results proved that dusting with pulverised sugar (particle diameter below 40 μm) influenced the fall of V. destructor in comparison with both their fall off prior to the treatment and the negative control. The most discernible effects on the mite fall and the decline in their population in the hives was obtained with dustings repeated at threeday intervals. To conclude, the dynamics of the treatment affected the degree of infestation in bee colonies. However, the efficacy of sugar dusting was significantly lower in comparison with the one of flumethrin (positive control). Thus, in spite of considerable favourable effects on the decline in the degree of infestation with mites, by no means may dusting with pulverised sugar be advised to beekeepers as the one and only means of bee protection against V. destructor. The use of the technique which involves mesh bottom boards equipped with sticky inserts proved more efficacious and sensitive in the judgment of the degree of infestation of bee colonies in comparison with the sugar shake method, which includes dusting 300 bees with 40 g of pulverised sugar (particle diameter below 40 μm).		Acari, Apis mellifera, Apoidea, Varroa, Varroa destructor	2011-07-11
Exposure to sublethal doses of fipronil and thiacloprid highly increases mortality of honeybees previously infected by nosema ceranae	Background: The honeybee, Apis mellifera, is undergoing a worldwide decline whose origin is still in debate. Studies performed for twenty years suggest that this decline may involve both infectious diseases and exposure to pesticides. Joint action of pathogens and chemicals are known to threaten several organisms but the combined effects of these stressors were poorly investigated in honeybees. Our study was designed to explore the effect of Nosema ceranae infection on honeybee sensitivity to sublethal doses of the insecticides fipronil and thiacloprid. Methodology/Finding: Five days after their emergence, honeybees were divided in 6 experimental groups: (i) uninfected controls, (ii) infected with N. ceranae, (iii) uninfected and exposed to fipronil, (iv) uninfected and exposed to thiacloprid, (v) infected with N. ceranae and exposed 10 days post-infection (p.i.) to fipronil, and (vi) infected with N. ceranae and exposed 10 days p.i. to thiacloprid. Honeybee mortality and insecticide consumption were analyzed daily and the intestinal spore content was evaluated 20 days after infection. A significant increase in honeybee mortality was observed when N. ceranae-infected honeybees were exposed to sublethal doses of insecticides. Surprisingly, exposures to fipronil and thiacloprid had opposite effects on microsporidian spore production. Analysis of the honeybee detoxification system 10 days p.i. showed that N. ceranae infection induced an increase in glutathione-S-transferase activity in midgut and fat body but not in 7-ethoxycoumarin-O-deethylase activity. Conclusions/Significance: After exposure to sublethal doses of fipronil or thiacloprid a higher mortality was observed in N. ceranae-infected honeybees than in uninfected ones. The synergistic effect of N. ceranae and insecticide on honeybee mortality, however, did not appear strongly linked to a decrease of the insect detoxification system. These data support the hypothesis that the combination of the increasing prevalence of N. ceranae with high pesticide content in beehives may contribute to colony depopulation. © 2011 Vidau et al.		7 ethoxycoumarin deethylase, fipronil, glutathione transferase, insecticide, thiacloprid, unclassified drug, fipronil, pyrazole derivative, pyridine derivative, thiacloprid, thiazine derivative, animal experiment, article, bee disease, controlled study, detoxification, enzyme activity, experimental infection, fat body, honeybee, LD 50, Microsporidia, midgut, mortality, nonhuman, Nosema, nosemosis, sporogenesis, animal, bee, drug effect, microbiology, Nosema, pathogenicity, Apis mellifera, Hexapoda, Nosema ceranae, Animals, Bees, Insecticides, Nosema, Pyrazoles, Pyridines, Thiazines	2011-07-01
A use-dependent sodium current modification induced by type I pyrethroid insecticides in honeybee antennal olfactory receptor neurons	We studied the mode of action of type I pyrethroids on the voltage-dependent sodium current from honeybee olfactory receptor neurons (ORNs), whose proper function in antenna is crucial for interindividual communication in this species. Under voltage-clamp, tetramethrin and permethrin induce a long lasting TTX-sensitive tail current upon repolarization, which is the hallmark of an abnormal prolongation of the open channel configuration. Permethrin and tetramethrin also slow down the sodium current fast inactivation. Tetramethrin and permethrin both bind to the closed state of the channel as suggested by the presence of an obvious tail current after the first single depolarization applied in the presence of either compounds. Moreover, at first sight, channel opening seems to promote tetramethrin and permethrin binding as evidenced by the progressive tail current summation along with trains of stimulations, tetramethrin being more potent at modifying channels than permethrin. However, a use-dependent increase in the sodium peak current along with stimulations suggests that the tail current accumulation could also be a consequence of progressively unmasked silent channels. Experiments with the sea anemone toxin ATX-II that suppresses sodium channels fast inactivation are consistent with the hypothesis that these silent channels are either in an inactivated state at rest, or that they normally inactivate before they open so that they do not participate to the control sodium current. In honeybee ORNs, three processes lead to a use-dependent pyrethroid-induced tail current accumulation: (i) a recruitment of silent channels that produces an increase in the peak sodium current, (ii) a slowing down of the sodium current inactivation produced by prolongation of channels opening and (iii) a typical deceleration in current deactivation. The use-dependent recruitment of silent sodium channels in honeybee ORNs makes pyrethroids more potent at modifying neuronal excitability. © 2011 Elsevier Inc.		permethrin, pyrethroid, sea anemone toxin, sodium channel, tetramethrin, animal cell, animal tissue, antenna (organ), article, binding site, brain electrophysiology, channel gating, controlled study, honeybee, membrane depolarization, nonhuman, olfactory receptor, priority journal, repolarization, scanning electron microscopy, sodium current, steady state, voltage clamp, Animals, Arthropod Antennae, Bees, Cnidarian Venoms, Insecticides, Ion Channel Gating, Kinetics, Least-Squares Analysis, Membrane Potentials, Models, Biological, Models, Statistical, Olfactory Receptor Neurons, Patch-Clamp Techniques, Permethrin, Pyrethrins, Sodium, Sodium Channel Blockers, Sodium Channels, Tetrodotoxin, Actiniaria, Apis mellifera, Apoidea	2011-06-01
The potential impacts of insecticides on the life-history traits of bees and the consequences for pollination	Maintaining the relationships between plants and pollinators is vital to ecosystem stability. Insecticides may disturb these interactions with poorly understood consequences for pollination. Community level research is essential, if we are to understand the wider effects of insecticides on a variety of pollinating taxa and the impacts on the plants they pollinate. In this article we discuss the potential effects of both the lethal and sub-lethal impacts of insecticide use in agro-ecosystems on pollination services by bees. In particular, we consider how particular life-history traits of pollinators, such as sociality and floral specialisation may be differentially affected by insecticides. We discuss how this might translate through to pollination services. We propose that a trait-based approach can give insight into the potential impacts of insecticides on plant-pollinator communities. © 2010 Gesellschaft fur Okologie.		Apoidea	2011-06-01
Social immunity in honeybees (Apis mellifera): Transcriptome analysis of varroa-hygienic behaviour	Honeybees have evolved a social immunity consisting of the cooperation of individuals to decrease disease in the hive. We identified a set of genes involved in this social immunity by analysing the brain transcriptome of highly varroa-hygienic bees, who efficiently detect and remove brood infected with the Varroa destructor mite. The function of these candidate genes does not seem to support a higher olfactory sensitivity in hygienic bees, as previously hypothesized. However, comparing their genomic profile with those from other behaviours suggests a link with brood care and the highly varroa-hygienic Africanized honeybees. These results represent a first step toward the identification of genes involved in social immunity and thus provide first insights into the evolution of social immunity. © 2011 The Authors Insect Molecular Biology © 2011 The Royal Entomological Society.		animal, animal communication, article, bee, brain, gene expression profiling, genetics, immunology, metabolism, parasitology, social behavior, Varroidae, Animal Communication, Animals, Bees, Brain, Gene Expression Profiling, Social Behavior, Varroidae, Acari, Apis mellifera, Apis mellifera scutellata, Apoidea, Varroa, Varroa destructor	2011-06-01
Rapid determination of fumagillin residues in honey by liquid chromatography-tandem mass spectrometry using the QuEChERS method	A new, rapid, and efficient method for determining the fumagillin residues in honey was developed. The samples extracted were analyzed using LC/MS/MS. Chromatographic separation of fumagillin was performed in gradient mode on a C8 column (100 × 2.0 mm, 5 μm) at 40°C. The mobile phase consisted of a mixture of 2 mM ammonium formate-0.01% formic acid solution and methanol; the flow rate was set to 0.2 mL/min. Under these conditions, it was possible to measure fumagillin and its isomers as a single peak. The sample preparation procedure used is based on the (quick, easy, cheap, effective, rugged, and safe) method, which is fast (approximately 30 min) and uses less organic solvent. The fumagillin was extracted with acetonitrile containing 0.1% formic acid, then purified using a solid-phase extraction method with an Oasis® mixed-mode weak anion-exchange cartridge. The overall recovery of fumagillin ranged from 88.1 to 99.4%; the intra- and interassay CVs were <4.5% and <4.9%, respectively. The LOQ was 0.1 μg/kg. LC/MS/MS coupled with the QuEChERS method showed strong potential as a method for determining fumagillin residues in honey.		Acid solutions, Anion exchange, Chromatographic separations, Fumagillin, LC/MS/MS, Liquid chromatography-tandem mass spectrometry, Mixed mode, Mobile phase, Quick , Easy , Cheap , Effective , Rugged , and Safe, Rapid determination, Sample preparation procedure, Single peak, Solid phase extraction method, Acetonitrile, Ammonium compounds, Formic acid, Isomers, Liquid chromatography, Mass spectrometry, Methanol, Organic solvents, Food products, antiinfective agent, cyclohexane derivative, fumagillin, sesquiterpene, unsaturated fatty acid, article, chemical structure, chemistry, food contamination, honey, liquid chromatography, methodology, reproducibility, tandem mass spectrometry, time, Anti-Bacterial Agents, Chromatography, Liquid, Cyclohexanes, Fatty Acids, Unsaturated, Food Contamination, Honey, Molecular Structure, Reproducibility of Results, Sesquiterpenes, Tandem Mass Spectrometry, Time Factors	2011-05-01
Predicting pesticide fate in the hive (part 1): Experimentally determined τ-Fluvalinate residues in bees, honey and wax	τ-Fluvalinate residues in bees, honey and wax were measured in two experimental hives treated with Apistan to test a multi-compartmental predictive model. Pesticide residues were monitored for 30 days after treatment in bees and for up to 180 days in honey and wax. Concentrations ranged between 14 and 160 ng g -1 f.w. in bees and between 98 and 1630 ng g -1 in wax, while no residues were detected above the analytical limit (2.5 ng g -1) in honey. τ-Fluvalinate residues are discussed in the context of a survey of data from the literature on other pesticides (bromopropylate, coumaphos, malathion and amitraz). This data review shows that residues of the same compound exhibit extremely high variability within the same matrix. This finding underlines the importance of developing predictive tools for both post-treatment analysis and a priori evaluation of the possible contamination effects of pesticides depending on the mode of application. © INRA, DIB-AGIB and Springer Science+Business Media B.V., 2011.		bee, dose-response relationship, experimental study, honey, literature review, pesticide application, pesticide residue, wax, Apoidea	2011-05-01
Pollination Biology: Biodiversity conservation and agricultural production	This book has a wider approach not strictly focused on crop production compared to other books that are strictly oriented towards bees, but has a generalist approach to pollination biology. It also highlights relationships between introduced and wild pollinators and consequences of such introductions on communities of wild pollinating insects. The chapters on biochemical basis of plant-pollination interaction, pollination energetics, climate change and pollinators and pollinators as bioindicators of ecosystem functioning provide a base for future insights into pollination biology. The role of honeybees and wild bees on crop pollination, value of bee pollination, planned honeybee pollination, non-bee pollinators, safety of pollinators, pollination in cages, pollination for hybrid seed production, the problem of diseases, genetically modified plants and bees, the role of bees in improving food security and livelihoods, capacity building and awareness for pollinators are also discussed. © 2012 Springer Science+Business Media B.V.			2011-05-01
Sainfoin (Onobrychis viciifolia): A beneficial forage legume	The Onobrychis genus comprises a few agronomically important forage legume species, with sainfoin (Onobrychis viciifolia) being the most widespread. O. viciifolia has a long history of traditional culture worldwide, but its use has declined in western countries over the last decades. It suffers from low productivity and is more difficult to maintain than other legumes but is known to have valuable characteristics such as palatability and drought tolerance. Recent studies suggest that it has several other highly beneficial properties due to its unique tannin and polyphenol composition. Condensed tannins present in Onobrychis species have been shown to confer anthelmintic properties, increase protein utilization and prevent bloating; they may also have the potential to reduce greenhouse gas emissions. Positive effects on wildlife and honey production could also be advantageous in the context of sustainable farming. Modern breeding programmes have not been a priority, leading to a lack of genetic knowledge in comparison to extensively used forage legumes. It is expected that potential for O. viciifolia improvements could be achieved by rigorous characterization of the available germplasm and utilization of characters derived from close relatives of the genus. Breeding priorities for the future would include enhanced germination and improved early establishment, allied to the best anthelmintic properties observed in some varieties. © 2011 NIAB.		Onobrychis, Onobrychis viciifolia	2011-04-01
Sub-lethal effects of pesticide residues in brood comb on worker honey bee (apis mellifera) development and longevity	Background:Numerous surveys reveal high levels of pesticide residue contamination in honey bee comb. We conducted studies to examine possible direct and indirect effects of pesticide exposure from contaminated brood comb on developing worker bees and adult worker lifespan.Methodology/Principal Findings:Worker bees were reared in brood comb containing high levels of known pesticide residues (treatment) or in relatively uncontaminated brood comb (control). Delayed development was observed in bees reared in treatment combs containing high levels of pesticides particularly in the early stages (day 4 and 8) of worker bee development. Adult longevity was reduced by 4 days in bees exposed to pesticide residues in contaminated brood comb during development. Pesticide residue migration from comb containing high pesticide residues caused contamination of control comb after multiple brood cycles and provided insight on how quickly residues move through wax. Higher brood mortality and delayed adult emergence occurred after multiple brood cycles in contaminated control combs. In contrast, survivability increased in bees reared in treatment comb after multiple brood cycles when pesticide residues had been reduced in treatment combs due to residue migration into uncontaminated control combs, supporting comb replacement efforts. Chemical analysis after the experiment confirmed the migration of pesticide residues from treatment combs into previously uncontaminated control comb.Conclusions/Significance:This study is the first to demonstrate sub-lethal effects on worker honey bees from pesticide residue exposure from contaminated brood comb. Sub-lethal effects, including delayed larval development and adult emergence or shortened adult longevity, can have indirect effects on the colony such as premature shifts in hive roles and foraging activity. In addition, longer development time for bees may provide a reproductive advantage for parasitic Varroa destructor mites. The impact of delayed development in bees on Varroa mite fecundity should be examined further. © 2011 Wu et al.		fungicide, herbicide, insecticide, pesticide residue, pesticide residue, arthropod life cycle stage, article, concentration (parameters), controlled study, environmental exposure, fertility, foraging behavior, honeybee, imago, indicator organism, insect development, larval development, lethality, longevity, nonhuman, organism colony, parasite viability, pesticide spraying, survival rate, Varroa, worker (insect), age, animal, animal housing, bee, drug effect, ecosystem, evaluation, female, grooming, growth, development and aging, larva, longevity, male, physiology, reproduction, Acari, Apis mellifera, Apoidea, Varroa, Varroa destructor, Age Factors, Animals, Bees, Ecosystem, Environmental Exposure, Female, Grooming, Growth and Development, Housing, Animal, Larva, Longevity, Male, Pesticide Residues, Reproduction	2011-03-02
Viruses associated with ovarian degeneration in Apis mellifera L. Queens	Queen fecundity is a critical issue for the health of honeybee (Apis mellifera L.) colonies, as she is the only reproductive female in the colony and responsible for the constant renewal of the worker bee population. Any factor affecting the queen's fecundity will stagnate colony development, increasing its susceptibility to opportunistic pathogens. We discovered a pathology affecting the ovaries, characterized by a yellow discoloration concentrated in the apex of the ovaries resulting from degenerative lesions in the follicles. In extreme cases, marked by intense discoloration, the majority of the ovarioles were affected and these cases were universally associated with egg-laying deficiencies in the queens. Microscopic examination of the degenerated follicles showed extensive paracrystal lattices of 30 nm icosahedral viral particles. A cDNA library from degenerated ovaries contained a high frequency of deformed wing virus (DWV) and Varroa destructor virus 1 (VDV-1) sequences, two common and closely related honeybee Iflaviruses. These could also be identified by in situ hybridization in various parts of the ovary. A large-scale survey for 10 distinct honeybee viruses showed that DWV and VDV-1 were by far the most prevalent honeybee viruses in queen populations, with distinctly higher prevalence in mated queens (100% and 67%, respectively for DWV and VDV-1) than in virgin queens (37% and 0%, respectively). Since very high viral titres could be recorded in the ovaries and abdomens of both functional and deficient queens, no significant correlation could be made between viral titre and ovarian degeneration or egg-laying deficiency among the wider population of queens. Although our data suggest that DWV and VDV-1 have a role in extreme cases of ovarian degeneration, infection of the ovaries by these viruses does not necessarily result in ovarian degeneration, even at high titres, and additional factors are likely to be involved in this pathology. © 2011 Gauthier et al.		animal tissue, article, controlled study, deformed wing virus, egg laying, female, fertility, Flavivirus, honeybee, nonhuman, ovary disease, ovary follicle, queen (insect), Varroa destructor virus 1, virus particle, virus titration, animal, bee, gene library, insect virus, isolation and purification, ovary, pathology, virology, Apis mellifera, Apoidea, Deformed wing virus, Varroa destructor virus 1, Animals, Bees, Female, Fertility, Gene Library, Insect Viruses, Ovarian Follicle, Ovary	2011-02-07
Cell death localization in situ in laboratory reared honey bee (Apis mellifera L.) larvae treated with pesticides	In this study, cell death detected by DNA fragmentation labeling and phosphatidylserine (PS) localization was investigated in the honey bee (Apis mellifera L.) midgut, salivary glands and ovaries after treating larvae with different pesticides offered via an artificial diet. To do this, honey bee larvae reared in an incubator were exposed to one of nine pesticides: chlorpyrifos, imidacloprid, amitraz, fluvalinate, coumaphos, myclobutanil, chlorothalonil, glyphosate and simazine. Following this, larvae were fixed and prepared for immunohistologically detected cellular death using two TUNEL techniques for DNA fragmentation labeling and Annexin V to detect the localization of exposed PS specific in situ binding to apoptotic cells. Untreated larvae experienced ∼10% midgut apoptotic cell death under controlled conditions. All applied pesticides triggered an increase in apoptosis in treated compared to untreated larvae. The level of cell death in the midgut of simazine-treated larvae was highest at 77% mortality and statistically similar to the level of cell death for chlorpyrifos (65%), imidacloprid (61%), myclobutanil (69%), and glyphosate (69%) treated larvae. Larvae exposed to fluvalinate had the lowest midgut columnar apoptotic cell death (30%) of any pesticide-treated larvae. Indications of elevated apoptotic cell death in salivary glands and ovaries after pesticide application were detected. Annexin V localization, indicative of apoptotic cell deletion, had an extensive distribution in the midgut, salivary glands and ovaries of pesticide-treated larvae. The data suggest that the tested pesticides induced apoptosis in tissues of honey bee larvae at the tested concentrations. Cell death localization as a tool for a monitoring the subclinical and sub-lethal effects of external influences on honey bee larval tissues is discussed. © 2010 Elsevier Inc.		Apis mellifera	2011-02-01
Octopamine-A single modulator with double action on the heart of two insect species (Apis mellifera macedonica and Bactrocera oleae): Acceleration vs. inhibition	The effects of octopamine, the main cardioacceleratory transmitter in insects, were investigated, in the isolated hearts of the honeybee, Apis mellifera macedonica, and the olive fruit fly, Bactrocera oleae. Octopamine induced a biphasic effect on the frequency and force of cardiac contractions acting as an agonist, with a strong acceleratory effect, at concentrations higher than 10 -12M for the honeybee and higher than 50×10 -9M for the olive fruit fly. The heart of the honeybee is far more sensitive than the heart of olive fruit fly. This unusual sensitivity is extended to the blockers of octopaminergic receptors, where phentolamine at 10 -5M stopped the spontaneous contractions of the honeybee heart completely and permanently, while the same blocker at the same concentration caused only 50% inhibition in the heart of the olive fruit fly. Phentolamine and mianserin at low concentrations of 10 -7M also blocked the heart octopaminergic receptors, but for a short period of time, of less than 15.0min, while a partial recovery in heart contraction started in spite of the presence of the antagonist. The unusual response of the honeybee heart in the presence of phentolamine and/or mianserin suggests excitatory effects of octopamine via two different receptor subtypes. At lower concentrations, 10 -14M, the agonist octopamine was converted to an antagonist, inducing a hyperpolarization in the membrane potential of the honeybee cardiac pacemaker cells and inhibiting the firing rate of the heart. The inhibitory effects of octopamine on certain parameters of the rhythmic bursts of the heart of the honeybee, were similar to those of mianserin and phentolamine, typical blockers of octopaminergic receptors. The heart of the olive fruit fly was 10 5 times less sensitive to octopamine, since a persistent inhibition of heart contractions occurred at 10 -9M. In conclusion, the acceleration of the insect heart is achieved by increasing the levels of octopamine, while there is a passive but also an active decrease in heart activity due to the minimization of octopamine. © 2010 Elsevier Ltd.		mianserin, norsynephrine receptor, octopamine, phentolamine, receptor, ammonium compound, antagonism, cardiovascular system, concentration (composition), inhibition, inhibitor, insect, animal, article, bee, drug antagonism, drug effect, heart, heart rate, physiology, Tephritidae, Animals, Bees, Heart, Heart Rate, Mianserin, Octopamine, Phentolamine, Receptors, Biogenic Amine, Tephritidae, Apis mellifera, Apis mellifera macedonica, Bactrocera oleae, Hexapoda	2011-02-01
The role of resources and risks in regulating wild bee populations	Recent declines of bee species have led to great interest in preserving and promoting bee populations for agricultural and wild plant pollination. Many correlational studies have examined the indirect effects of factors such as landscape context and land management practices and found great variation in bee response. We focus here on the evidence for effects of direct factors (i.e., food resources, nesting resources, and incidental risks) regulating bee populations and then interpret varied responses to indirect factors through their species-specific and habitat-specific effects on direct factors. We find strong evidence for food resource availability regulating bee populations, but little clear evidence that other direct factors are commonly limiting. We recommend manipulative experiments to illuminate the effects of these different factors. We contend that much of the variation in impact from indirect factors, such as grazing, can be explained by the relationships between indirect factors and floral resource availability based on environmental circumstances. © 2011 by Annual Reviews. All rights reserved.		agriculture, animal, article, bee, ecosystem, environmental protection, pollination, Agriculture, Animals, Bees, Conservation of Natural Resources, Ecosystem, Pollination, Apoidea	2011-01-07
Toxicity of mycotoxins to honeybees and its amelioration by propolis	Honeybees (Apis mellifera) and their resource-rich nests are hosts to a wide range of saprophytic fungi, including species that produce mycotoxins. The toxicity of aflatoxin B1 (AB1) and ochratoxin A (OTA), products of Aspergillus species often found in honeybee hives, was evaluated and LC 50 values for both toxins were calculated. Workers can tolerate a wide range of concentrations of both OTA and AB1. At low concentrations, AB1 (1 μg/g and 2.5 μg/g diet) and OTA (1 μg/g) did not have any apparent toxic effects on bees. Enhancement of the toxicity of AB1 by piperonyl butoxide (PBO), a known inhibitor of cytochrome P450 monooxygenases, indicates a role for P450s in AB1 detoxification in honeybees. Extracts of propolis, a complex mixture of plant-derived chemicals, including many flavonoids and other phenolic compounds, similarly ameliorated aflatoxin toxicity and delayed the onset of mortality. Collectively, these results suggest that tolerance of AB1 by honeybees may be due to P450-mediated metabolic detoxification. Propolis may serve a hitherto unrecognized role in honey bee health by enhancing the activity of P450 enzymes involved in mycotoxin detoxification. © INRA/DIB-AGIB/EDP Sciences, 2010.		concentration (composition), detoxification, dose-response relationship, enzyme activity, fungus, honeybee, inhibitor, mortality, phenolic compound, phytochemistry, resin, toxicity test, toxin, worker caste, Apis mellifera, Apoidea, Aspergillus, Fungi	2011-01-01
The plight of the bees	The loss of biodiversity is a trend that is garnering much concern. As organisms have evolved mutualistic and synergistic relationships, the loss of one or a few species can have a much wider environmental impact. Since much pollination is facilitated by bees, the reported colony collapse disorder has many worried of widespread agricultural fallout and thus deleterious impact on human foodstocks. In this Feature, Spivak et al. review what is known of the present state of bee populations and provide information on how to mitigate and reverse the trend. © 2010 American Chemical Society.		Biodiversity, Environmental impact, pesticide, bee, biodiversity, colony, environmental impact, evolutionary biology, food production, literature review, nature-society relations, pollination, agriculture, article, bumblebee, colony collapse, environmental protection, habitat, nonhuman, pollination, Agrochemicals, Animals, Bees, Colony Collapse, Conservation of Natural Resources, Ecosystem, Environmental Policy, Female, Male, Pesticides, Pollination, Apoidea	2011-01-01
An assessment of honeybee colony matrices, Apis mellifera (Hymenoptera: Apidae) to monitor pesticide presence in continental France	The frequency of occurrence and relative concentration of 44 pesticides in apicultural (Apis mellifera) matrices collected from five French locations (24 apiaries) were assessed from 2002 to 2005. The number and nature of the pesticides investigated varied with the matrices examined-living honeybees, pollen loads, honey, and beeswax. Pollen loads and beeswax had the highest frequency of pesticide occurrence among the apiary matrices examined in the present study, whereas honey samples had the lowest. The imidacloprid group and the fipronil group were detected in sufficient amounts in all matrices to allow statistical comparisons. Some seasonal variation was shown when residues were identified in pollen loads. Given the results (highest frequency of presence) and practical aspects (easy to collect; matrix with no turnover, unlike with bees that are naturally renewed), pollen loads were the best matrix for assessing the presence of pesticide residues in the environment in our given conditions. © 2010 SETAC.		Beeswax, Bio-indicators, Honeybees, Pesticide residues, Pollen, Air pollution control, Food products, Waxes, Pesticides, 6 chloronicotinic acid, aldicarb, azinphos methyl, biological marker, carbaril, carbofuran, chlorpyrifos, cipermethrin, coumafos, cyfluthrin, cyproconazole, deltamethrin, dimethoate, endosulfan, epoxyconazole, fenitrothion, fenthion, fipronil, flusilazole, hexaconazole, imidacloprid, lindane, malathion, methidathion, methiocarb, methomyl, pesticide, pesticide residue, propolis, unclassified drug, unindexed drug, bioindicator, chemical pollutant, honey, honeybee, pesticide residue, sampling, seasonal variation, article, ecotoxicity, ecotoxicology, France, honey, honeybee, nonhuman, pollen, priority journal, seasonal variation, Animals, Bees, Environmental Monitoring, Environmental Pollutants, Environmental Pollution, France, Honey, Models, Biological, Pesticides, Pollen, Waxes, France, Apidae, Apis mellifera, Apoidea, Hymenoptera	2011-01-01
A meta-analysis of experiments testing the effects of a neonicotinoid insecticide (imidacloprid) on honey bees	Honey bees provide important pollination services to crops and wild plants. The agricultural use of systemic insecticides, such as neonicotinoids, may harm bees through their presence in pollen and nectar, which bees consume. Many studies have tested the effects on honey bees of imidacloprid, a neonicotinoid, but a clear picture of the risk it poses to bees has not previously emerged, because investigations are methodologically varied and inconsistent in outcome. In a meta-analysis of fourteen published studies of the effects of imidacloprid on honey bees under laboratory and semi-field conditions that comprised measurements on 7073 adult individuals and 36 colonies, fitted dose-response relationships estimate that trace dietary imidacloprid at field-realistic levels in nectar will have no lethal effects, but will reduce expected performance in honey bees by between 6 and 20%. Statistical power analysis showed that published field trials that have reported no effects on honey bees from neonicotinoids were incapable of detecting these predicted sublethal effects with conventionally accepted levels of certainty. These findings raise renewed concern about the impact on honey bees of dietary imidacloprid, but because questions remain over the environmental relevance of predominantly laboratory-based results, I identify targets for research and provide procedural recommendations for future studies. © 2010 Springer Science+Business Media, LLC.		imidacloprid, agrochemical, dose-response relationship, ecosystem service, honeybee, imidacloprid, insecticide, meta-analysis, pollination, pollution effect, sublethal effect, acute toxicity, animal experiment, article, chronic toxicity, concentration (parameters), concentration response, controlled study, dietary intake, environmental exposure, honeybee, imago, insect development, insecticidal activity, LC 50, LD 50, lethality, nectar, nonhuman, organism colony, pollination, priority journal, toxicity testing, Animals, Bees, Environmental Exposure, Imidazoles, Insecticides, Nitro Compounds, Toxicity Tests, Apis mellifera, Apoidea	2011-01-01
High Levels of Miticides and Agrochemicals in North American Apiaries: Implications for Honey Bee Health	Background: Recent declines in honey bees for crop pollination threaten fruit, nut, vegetable and seed production in the United States. A broad survey of pesticide residues was conducted on samples from migratory and other beekeepers across 23 states, one Canadian province and several agricultural cropping systems during the 2007-08 growing seasons. Methodology/Principal Findings: We have used LC/MS-MS and GC/MS to analyze bees and hive matrices for pesticide residues utilizing a modified QuEChERS method. We have found 121 different pesticides and metabolites within 887 wax, pollen, bee and associated hive samples. Almost 60% of the 259 wax and 350 pollen samples contained at least one systemic pesticide, and over 47% had both in-hive acaricides fluvalinate and coumaphos, and chlorothalonil, a widely-used fungicide. In bee pollen were found chlorothalonil at levels up to 99 ppm and the insecticides aldicarb, carbaryl, chlorpyrifos and imidacloprid, fungicides boscalid, captan and myclobutanil, and herbicide pendimethalin at 1 ppm levels. Almost all comb and foundation wax samples (98%) were contaminated with up to 204 and 94 ppm, respectively, of fluvalinate and coumaphos, and lower amounts of amitraz degradates and chlorothalonil, with an average of 6 pesticide detections per sample and a high of 39. There were fewer pesticides found in adults and brood except for those linked with bee kills by permethrin (20 ppm) and fipronil (3.1 ppm). Conclusions/Significance: The 98 pesticides and metabolites detected in mixtures up to 214 ppm in bee pollen alone represents a remarkably high level for toxicants in the brood and adult food of this primary pollinator. This represents over half of the maximum individual pesticide incidences ever reported for apiaries. While exposure to many of these neurotoxicants elicits acute and sublethal reductions in honey bee fitness, the effects of these materials in combinations and their direct association with CCD or declining bee health remains to be determined.		acaricide, agricultural chemical, chlorothalonil, herbicide, nitrile, pesticide, animal, apiculture, article, bee, drug effect, liquid chromatography, mass spectrometry, methodology, North America, pollen, time, Acaricides, Agrochemicals, Animals, Beekeeping, Bees, Chromatography, Liquid, Herbicides, Mass Spectrometry, Nitriles, North America, Pesticides, Pollen, Time Factors	2010-12-01
